,artist,track,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,stream,ln_stream
1813,The Velvet Underground,8,3,0.58775,0.39475,4.75,-13.647874999999999,0.050975000000000006,0.37173875,0.108981875,0.2054375,0.527625,110.751,3.6348875000000005,61513685.375,17.93477023444418
1814,The Verve,6,4,0.3955,0.6486666666666666,1.6666666666666667,-7.730166666666666,0.028316666666666667,0.1733333333333333,0.05386870166666666,0.14936666666666668,0.24616666666666667,102.132,4.564183333333333,53390157.333333336,17.793136967340978
1815,The Walters,9,7,0.5942222222222222,0.4766666666666667,6.111111111111111,-7.9126666666666665,0.030266666666666664,0.5247666666666667,0.022634633333333334,0.17222222222222225,0.47988888888888886,99.72522222222223,2.8840092592592597,102259151.66666667,18.44302085173453
1816,The Weeknd,9,6,0.5778888888888888,0.6503333333333333,2.5555555555555554,-6.648777777777778,0.07042222222222222,0.12934,0.00013368333333333335,0.18954444444444443,0.3085555555555555,129.78188888888886,3.7808870370370378,1388042153.6666667,21.051160068646713
1817,The White Stripes,10,6,0.5281999999999999,0.6340999999999999,7.0,-6.5657,0.10618999999999998,0.309076,0.13810468,0.23501999999999995,0.4551000000000001,110.9055,3.05936,196412777.3,19.095729009304133
1818,The Who,7,5,0.5384285714285715,0.7564285714285715,4.857142857142857,-8.318571428571428,0.0392,0.23287142857142856,0.11148107142857144,0.12634285714285715,0.5497142857142857,119.28585714285714,3.6380761904761907,163649330.57142857,18.9132364682916
1819,The Wiggles,8,4,0.6602500000000001,0.646375,2.75,-6.23175,0.09206249999999999,0.2472125,0.0036565,0.1802375,0.8537499999999999,131.857875,1.6479812500000002,23749787.125,16.98308412524686
1820,The Wombats,10,7,0.49890000000000007,0.8645999999999999,5.2,-5.172700000000001,0.06434999999999999,0.02424962,0.000157169,0.27393,0.6085,132.30839999999998,3.455988333333333,80469368.0,18.203387148232892
1821,TheFatRat,10,10,0.6247999999999999,0.7362000000000001,5.5,-4.9948999999999995,0.04094,0.19787399999999997,0.08411901000000001,0.11858000000000002,0.37499999999999994,118.0538,3.5513699999999995,67333114.4,18.025162715206935
1822,Theory of a Deadman,10,7,0.46690000000000004,0.8017,3.6,-5.3168999999999995,0.055720000000000006,0.080496,5.8169999999999995e-06,0.16350000000000003,0.44989999999999997,128.5585,3.6520250000000005,79766286.1,18.194611493200366
1823,Thiaguinho,8,7,0.611875,0.69675,5.625,-7.333125,0.0683375,0.48925,0.0,0.5925,0.7517499999999999,134.692875,3.5247958333333336,47426424.875,17.67469011814161
1824,Thin Lizzy,10,6,0.5041,0.7029,6.0,-11.398000000000001,0.078,0.1954697,0.09641910000000001,0.20262000000000002,0.6874,125.16689999999998,3.755398333333333,61114307.4,17.928256560395912
1825,Third Eye Blind,10,2,0.52,0.7203999999999999,3.8,-7.437,0.0341,0.01741977,0.0005387599999999999,0.13247,0.5106999999999999,115.477,4.097731666666666,90345446.7,18.319151177495723
1826,Thirty Seconds To Mars,8,3,0.41925,0.8289999999999998,6.5,-4.9625,0.0707,0.0176752,0.03756831125,0.2256125,0.25837499999999997,147.66325,4.2694125000000005,102703257.75,18.44735439542782
1827,Thomas Karallus,1,1,0.517,0.684,0.0,-9.592,0.42700000000000005,0.585,0.0,0.631,0.7170000000000001,77.558,1.45215,390538.0,12.87528055466702
1828,Thomas Rhett,10,6,0.5913,0.6852999999999999,4.8,-6.1129999999999995,0.03353,0.07500319999999999,1.3778000000000003e-05,0.16129,0.6613,123.7299,3.195243333333334,197788638.7,19.102709537181706
1829,Thousand Foot Krutch,10,6,0.5522,0.7901,7.3,-4.9186000000000005,0.05713999999999999,0.004752200000000001,5.1587999999999995e-05,0.11639,0.5477,132.34890000000001,3.721406666666666,76640772.1,18.154639765949828
1830,Three 6 Mafia,9,5,0.8665555555555555,0.7192222222222223,7.0,-6.075333333333333,0.11659999999999998,0.06160333333333334,0.001802,0.19004444444444446,0.572888888888889,112.32822222222222,3.4019944444444445,35729483.44444445,17.391486772700695
1831,Three Days Grace,9,5,0.4518888888888889,0.8667777777777778,4.0,-4.222333333333333,0.048011111111111116,0.0026479888888888887,2.911111111111111e-07,0.18136666666666668,0.4468888888888889,138.75522222222222,3.408542592592592,221263063.66666666,19.21486288493033
1832,Thundercat,10,5,0.6861,0.6445000000000001,4.5,-8.587799999999998,0.11723000000000001,0.45701300000000006,0.24199299999999999,0.2467,0.6414,106.50169999999999,2.902156666666667,65580211.9,17.998784560543594
